"rank","country","name","boulder","lead","total","qualified","gender"
1,"JPN","Sorato ANRAKU",69,68,137,TRUE,"male"
2,"GBR","Toby ROBERTS",54.1,68.1,122.2,TRUE,"male"
3,"CZE","Adam ONDRA",48.7,68.1,116.8,TRUE,"male"
4,"ESP","Alberto GINES LOPEZ",28.7,72,100.7,TRUE,"male"
5,"AUT","Jakob SCHUBERT",44.7,54.1,98.8,TRUE,"male"
6,"FRA","Paul JENFT",34.1,57,91.1,TRUE,"male"
7,"USA","Colin DUFFY",33.8,54.1,87.9,TRUE,"male"
8,"GBR","Hamish M",34.2,45.1,79.3,TRUE,"male"
9,"GER","Yannick FLOHE",29.7,39.1,68.8,FALSE,"male"
10,"JPN","Tomoa NARASAKI",54.4,12.1,66.5,FALSE,"male"
11,"FRA","Sam AVEZOU",49.2,12.1,61.3,FALSE,"male"
12,"CHN","Yufei PAN",29,30.1,59.1,FALSE,"male"
13,"GER","Alexander MEGOS",24.7,24,48.7,FALSE,"male"
14,"BEL","Van DUYSEN H",34.3,12,46.3,FALSE,"male"
15,"KOR","Dohyun LEE",34,12,46,FALSE,"male"
16,"SLO","Luka POTOCAR",19.6,24,43.6,FALSE,"male"
17,"SUI","Sascha LEHMANN",24,12.1,36.1,FALSE,"male"
18,"USA","Jesse GRUPPER",18.9,12,30.9,FALSE,"male"
19,"AUS","Campbell HARRISON",9.4,14,23.4,FALSE,"male"
20,"RSA","Mel JANSE",9.4,7.1,16.5,FALSE,"male"
1,"SLO","Janja GARNBRET",99.6,96.1,195.7,TRUE,"female"
2,"AUT","Jessica PILZ",68.8,88.1,156.9,TRUE,"female"
3,"USA","Brooke RABOUTOU",83.7,72.1,155.8,TRUE,"female"
4,"JPN","Ai MORI",54,96.1,150.1,TRUE,"female"
5,"FRA","Oriane BERTONE",84.5,45.1,129.6,TRUE,"female"
6,"AUS","Oceania MACKENZIE",79.6,45.1,124.7,TRUE,"female"
7,"GBR","Erin M",59.6,64.1,123.7,TRUE,"female"
8,"KOR","Chaehyun SEO",44.2,72.1,116.3,TRUE,"female"
9,"JPN","Miho NONAKA",64.4,51.1,115.5,FALSE,"female"
10,"CHN","Zhilu LUO",63.6,48.1,111.7,FALSE,"female"
11,"USA","Natalia GROSSMAN",69.2,39.1,108.3,FALSE,"female"
12,"ITA","Camilla MORONI",64,36.1,100.1,FALSE,"female"
13,"CHN","Yuetong ZHANG",29.7,68,97.7,FALSE,"female"
14,"FRA","Zelia AVEZOU",49.3,45.1,94.4,FALSE,"female"
15,"UKR","Ievgeniia KAZBEKOVA",39.5,45.1,84.6,FALSE,"female"
16,"GER","Lucia DOERFFEL",29.2,51.1,80.3,FALSE,"female"
17,"SLO","Mia KRAMPL",28.4,51.1,79.5,FALSE,"female"
18,"ITA","Laura ROGORA",13.2,57.1,70.3,FALSE,"female"
19,"GBR","Molly THOMPSON-SMITH",9.8,57,66.8,FALSE,"female"
20,"RSA","Lauren MUKHEIBIR",0,4.1,4.1,FALSE,"female"
